InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,TOP,CustomerID,Country
581001,POST,POSTAGE,3,12/7/2011,18,54,12583,France
545664,POST,POSTAGE,3,3/4/2011,28,84,12584,Italy
539957,POST,POSTAGE,6,12/23/2010,18,108,12585,Germany
550620,POST,POSTAGE,6,4/19/2011,18,108,12585,Germany
580265,POST,POSTAGE,1,12/2/2011,40,40,12587,Finland
573588,POST,POSTAGE,1,10/31/2011,40,40,12588,Finland
560363,POST,POSTAGE,1,7/18/2011,18,18,12589,France
575747,POST,POSTAGE,3,11/11/2011,18,54,12589,France
552980,POST,POSTAGE,1,5/12/2011,523,523,12590,Germany
542238,POST,POSTAGE,3,1/26/2011,28,84,12591,Italy
552649,POST,POSTAGE,1,5/10/2011,18,18,12592,Germany
566054,POST,POSTAGE,1,9/8/2011,18,18,12592,Germany
551887,POST,POSTAGE,2,5/5/2011,18,36,12593,France
541703,POST,POSTAGE,2,1/21/2011,28,56,12594,Italy
544399,POST,POSTAGE,1,2/18/2011,28,28,12594,Italy
547914,POST,POSTAGE,1,3/28/2011,18,18,12594,Italy
547931,POST,POSTAGE,1,3/28/2011,28,28,12594,Italy
549682,POST,POSTAGE,2,4/11/2011,28,56,12596,Spain
571851,POST,POSTAGE,4,10/19/2011,28,112,12596,Spain
547941,POST,POSTAGE,1,3/28/2011,150,150,16692,United Kingdom
546760,POST,POSTAGE,3,3/16/2011,28,84,12597,Spain
556241,POST,POSTAGE,8,6/9/2011,28,224,12597,Spain
573362,POST,POSTAGE,10,10/30/2011,28,280,12597,Spain
577523,POST,POSTAGE,1,11/20/2011,28,28,12597,Spain
545105,POST,POSTAGE,6,2/28/2011,18,108,12598,France
551552,POST,POSTAGE,2,5/3/2011,18,36,12598,France
558687,POST,POSTAGE,1,7/1/2011,18,18,12598,France
568994,POST,POSTAGE,2,9/29/2011,18,36,12598,France
575845,POST,POSTAGE,1,11/11/2011,18,18,12598,France
539491,POST,POSTAGE,1,12/20/2010,15,15,14646,Netherlands
543387,POST,POSTAGE,10,2/8/2011,15,150,14646,Netherlands
547796,POST,POSTAGE,9,3/25/2011,15,135,14646,Netherlands
551345,POST,POSTAGE,6,4/28/2011,15,90,14646,Netherlands
552845,POST,POSTAGE,6,5/11/2011,15,90,14646,Netherlands
552846,POST,POSTAGE,1,5/11/2011,18,18,14646,Netherlands
553682,POST,POSTAGE,4,5/18/2011,15,60,14646,Netherlands
560710,POST,POSTAGE,1,7/20/2011,15,15,14646,Netherlands
567795,POST,POSTAGE,6,9/22/2011,15,90,14646,Netherlands
569719,POST,POSTAGE,8,10/6/2011,15,120,14646,Netherlands
569735,POST,POSTAGE,2,10/6/2011,15,30,14646,Netherlands
572233,POST,POSTAGE,7,10/21/2011,15,105,14646,Netherlands
575709,POST,POSTAGE,2,11/10/2011,15,30,14646,Netherlands
576664,POST,POSTAGE,1,11/16/2011,15,15,14646,Netherlands
577326,POST,POSTAGE,2,11/18/2011,15,30,14646,Netherlands
578034,POST,POSTAGE,5,11/22/2011,15,75,14646,Netherlands
543459,POST,POSTAGE,2,2/8/2011,18,36,12599,France
545051,POST,POSTAGE,1,2/27/2011,18,18,12599,France
553195,POST,POSTAGE,1,5/15/2011,18,18,12599,France
558334,POST,POSTAGE,1,6/28/2011,18,18,12599,France
559685,POST,POSTAGE,1,7/11/2011,18,18,12599,France
562520,POST,POSTAGE,1,8/5/2011,18,18,12599,France
575629,POST,POSTAGE,1,11/10/2011,18,18,12599,France
536967,POST,POSTAGE,1,12/3/2010,18,18,12600,Germany
539327,POST,POSTAGE,1,12/17/2010,18,18,12600,Germany
543048,POST,POSTAGE,3,2/3/2011,18,54,12600,Germany
547085,POST,POSTAGE,1,3/20/2011,18,18,12600,Germany
551467,POST,POSTAGE,1,4/28/2011,18,18,12600,Germany
553884,POST,POSTAGE,1,5/19/2011,18,18,12600,Germany
560230,POST,POSTAGE,2,7/17/2011,18,36,12600,Germany
563776,POST,POSTAGE,2,8/19/2011,18,36,12600,Germany
567134,POST,POSTAGE,1,9/16/2011,18,18,12600,Germany
575750,POST,POSTAGE,3,11/11/2011,18,54,12600,Germany
540769,POST,POSTAGE,1,1/11/2011,18,18,12601,Germany
543550,POST,POSTAGE,1,2/10/2011,18,18,12601,Germany
548412,POST,POSTAGE,1,3/31/2011,18,18,12601,Germany
553885,POST,POSTAGE,1,5/19/2011,18,18,12601,Germany
555417,POST,POSTAGE,1,6/3/2011,18,18,12601,Germany
577168,POST,POSTAGE,7,11/18/2011,18,126,12603,Germany
539318,POST,POSTAGE,6,12/16/2010,40,240,12348,Finland
541998,POST,POSTAGE,1,1/25/2011,40,40,12348,Finland
548955,POST,POSTAGE,1,4/5/2011,40,40,12348,Finland
568172,POST,POSTAGE,1,9/25/2011,40,40,12348,Finland
547492,POST,POSTAGE,1,3/23/2011,18,18,12604,France
577609,POST,POSTAGE,1,11/21/2011,300,300,12349,Italy
543037,POST,POSTAGE,1,2/2/2011,40,40,12350,Norway
545323,POST,POSTAGE,1,3/1/2011,40,40,12352,Norway
547390,POST,POSTAGE,1,3/22/2011,40,40,12352,Norway
567505,POST,POSTAGE,2,9/20/2011,40,80,12352,Norway
568699,POST,POSTAGE,1,9/28/2011,40,40,12352,Norway
574275,POST,POSTAGE,2,11/3/2011,40,80,12352,Norway
542128,POST,POSTAGE,2,1/25/2011,18,36,12609,Germany
555719,POST,POSTAGE,5,6/6/2011,18,90,12609,Germany
567904,POST,POSTAGE,2,9/22/2011,18,36,12609,Germany
562528,POST,POSTAGE,4,8/5/2011,28,112,12610,Italy
564476,POST,POSTAGE,1,8/25/2011,40,40,12610,Italy
572934,POST,POSTAGE,4,10/27/2011,40,160,12610,Italy
576907,POST,POSTAGE,1,11/17/2011,40,40,12610,Italy
545314,POST,POSTAGE,4,3/1/2011,15,60,12866,Belgium
541430,POST,POSTAGE,18,1/18/2011,18,324,12356,Portugal
568350,POST,POSTAGE,2,9/26/2011,18,36,12612,Germany
547383,POST,POSTAGE,3,3/22/2011,18,54,12613,Germany
547384,POST,POSTAGE,1,3/22/2011,18,18,12613,Germany
554699,POST,POSTAGE,3,5/26/2011,18,54,12613,Germany
571065,POST,POSTAGE,7,10/13/2011,18,126,12613,Germany
